File,Result
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L3.o:2/2,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L3.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L3.o:from-netdev, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L4.o:2/2,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L4.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L4.o:from-netdev, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DUNKNOWN.o:2/2,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DUNKNOWN.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DUNKNOWN.o:from-netdev, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/2,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/3,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/5, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/4,safe
