File,Result,trivial,seahorn_time,total
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L3.o:2/2,1,0,BRUNCH_STAT seahorn_total 0.04,0.53user 0.15system 0:00.69elapsed 100%CPU (0avgtext+0avgdata 92740maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L3.o:2/1,1,0,BRUNCH_STAT seahorn_total 0.03,0.49user 0.19system 0:00.68elapsed 100%CPU (0avgtext+0avgdata 91996maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L3.o:from-netdev,0,0,BRUNCH_STAT seahorn_total 0.34,2.64user 0.26system 0:02.90elapsed 100%CPU (0avgtext+0avgdata 99192maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L4.o:2/2,1,0,BRUNCH_STAT seahorn_total 0.05,0.57user 0.13system 0:00.70elapsed 100%CPU (0avgtext+0avgdata 92544maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L4.o:2/1,1,0,BRUNCH_STAT seahorn_total 0.04,0.52user 0.17system 0:00.69elapsed 100%CPU (0avgtext+0avgdata 92920maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L4.o:from-netdev,0,0,BRUNCH_STAT seahorn_total 0.49,3.56user 0.32system 0:03.88elapsed 100%CPU (0avgtext+0avgdata 101248maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DUNKNOWN.o:2/2,1,0,BRUNCH_STAT seahorn_total 0.04,0.52user 0.16system 0:00.69elapsed 100%CPU (0avgtext+0avgdata 93000maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DUNKNOWN.o:2/1,1,0,BRUNCH_STAT seahorn_total 0.04,0.51user 0.17system 0:00.68elapsed 100%CPU (0avgtext+0avgdata 92404maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lb-DUNKNOWN.o:from-netdev,0,0,BRUNCH_STAT seahorn_total 0.15,1.27user 0.22system 0:01.49elapsed 100%CPU (0avgtext+0avgdata 97232maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/2,1,0,BRUNCH_STAT seahorn_total 0.05,0.51user 0.18system 0:00.69elapsed 100%CPU (0avgtext+0avgdata 92536maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/1,1,0,BRUNCH_STAT seahorn_total 0.03,0.49user 0.19system 0:00.68elapsed 100%CPU (0avgtext+0avgdata 92780maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/3,1,0,BRUNCH_STAT seahorn_total 0.06,0.81user 0.21system 0:01.03elapsed 100%CPU (0avgtext+0avgdata 93112maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/5,1,0,BRUNCH_STAT seahorn_total 0.15,1.57user 0.20system 0:01.77elapsed 100%CPU (0avgtext+0avgdata 93916maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/4,1,0,BRUNCH_STAT seahorn_total 0.07,0.98user 0.14system 0:01.12elapsed 100%CPU (0avgtext+0avgdata 92316maxresident)k
