File,Result,Cpu,Mem
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L3.o:2/2,1,0.011217,5332
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L3.o:2/1,1,0.008355,5176
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L3.o:from-netdev,1,0.251625,20232
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L4.o:2/2,1,0.010541,5376
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L4.o:2/1,1,0.008189,5016
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lb-DLB_L4.o:from-netdev,1,0.377685,28572
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lb-DUNKNOWN.o:2/2,1,0.009904,5276
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lb-DUNKNOWN.o:2/1,1,0.007742,5260
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lb-DUNKNOWN.o:from-netdev,1,0.054829,10388
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/2,1,0.015115,5332
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/1,1,0.007887,5296
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/3,1,0.044629,8548
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/5,1,1.25377,16260
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/4,1,0.082513,11012
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/7,1,3.13855,84912
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:2/6,1,0.030433,7436
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:from-container,1,0.007252,5328
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DDROP_ALL.o:1/0x1010,1,4.27619,60588
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:2/2,1,0.010155,5216
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:2/1,1,0.007954,5220
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:2/3,1,0.045374,8380
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:2/5,1,1.4432,16060
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:2/4,1,0.08264,11112
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:2/7,1,3.15902,84728
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:2/6,1,0.030324,7632
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:from-container,unmarshaling error at 58: bad instruction op 0x30,,
